year,log_bin_ratio,normalization_mean_income_adj_2025_usd,positive_income_observation_n,gompertz_A,gompertz_B,gompertz_r2,gompertz_sse,gompertz_x_gmax,gompertz_point_n,gompertz_selection_status,gompertz_boundary_A_free,gompertz_boundary_B_free,gompertz_boundary_r2_free,gompertz_population_n,gompertz_population_pct,gompertz_ccdf_at_x_t_percent,bootstrap_reps,gompertz_B_bootstrap_se,gompertz_A_free_bootstrap_se,gompertz_B_free_bootstrap_se,exponential_intercept,exponential_alpha,exponential_r2,gompertz_income_share_pct
1987,1.1,226.7955159829924,292615,1.5271796258079011,0.3382154084691118,0.9764005817682612,0.7583629580120259,7.763947684149914,92,largest_range_with_free_A_in_1.4_to_1.6,1.5434750934624677,0.3422215782551637,0.9769873470223168,289156,98.81790065444356,1.3955683158912229,1000.0,0.017752059996064013,0.008509576811484712,0.01924164464006608,4.454344800738818,0.6920908944437183,0.9319314081652332,84.53158264435757
1988,1.1,248.49461461924585,289633,1.5271796258079011,0.3385303236124596,0.9539490016797696,1.8879922359895769,8.533216400084266,104,largest_range_with_free_A_in_1.4_to_1.6,1.541946388671655,0.3418336942446066,0.954390479321699,286493,98.9158693933357,1.292085263692789,1000.0,0.025589039152813874,0.01052489172354373,0.02693848409503928,4.462260875408551,0.6524803943125211,0.9198953891987233,84.28197881971927
1989,1.1,371.4892267419126,292688,1.5271796258079011,0.3228554859365816,0.9768886059099884,0.7254002839337095,8.126905888820493,90,largest_range_with_free_A_in_1.4_to_1.6,1.5327679579538147,0.3241679229008194,0.9769572694073108,289223,98.81614552014432,1.3965327708767747,1000.0,0.015640431154212337,0.00796975068951616,0.017046569297904927,4.4239961210184,0.6593542668014691,0.9200833578326179,82.47726022395128
1990,1.1,2184.107900978252,114461,1.5271796258079011,0.2948018445031635,0.991652154093754,0.1642020316867086,7.100868092971827,92,largest_range_with_free_A_in_1.4_to_1.6,1.5276822970195392,0.2949369650656492,0.9916530662479304,112674,98.43876953722229,1.7641974828638778,1000.0,0.008073242835493735,0.0032746192422439756,0.008781660191070746,4.480211221742146,0.6980277277884401,0.9430813629380512,86.43585532361122
1992,1.1,319.2575000347547,75322,1.5271796258079011,0.3634917570211073,0.9677989654206934,1.1557771404548314,7.465068963129983,101,largest_range_with_free_A_in_1.4_to_1.6,1.5518884750231396,0.3698095738271282,0.9691598830568527,74465,98.86221820981918,1.3570937766767404,1000.0,0.02235618742189524,0.005313378530900389,0.02315292882933987,4.539962511376374,0.7439748384057161,0.943786020277011,85.3053392507661
1993,1.1,356.6437655311534,76818,1.5271796258079011,0.3367266379026451,0.98423346944362,0.5576473811891532,8.09189309790807,106,largest_range_with_free_A_in_1.4_to_1.6,1.5378937279822094,0.3392542185742204,0.9845093495709673,75908,98.8153818115546,1.3524599131707695,1000.0,0.013315471303154044,0.004509094511553244,0.014839656276400328,4.503800345821409,0.6919067645846211,0.925323993764481,83.22863737287796
1995,1.1,566.5207657533582,82246,1.5271796258079011,0.3663782471275534,0.9209250863920564,3.718463147019167,8.407876016545897,87,largest_range_with_free_A_in_1.4_to_1.6,1.5638883942401107,0.3747107840889911,0.9228167475707852,81391,98.96043576587311,1.2355945276478837,1000.0,0.03625236218499138,0.021474208806890976,0.040679842957713465,4.426044320827941,0.6592162112295993,0.9227102133716218,85.36588839148008
1996,1.1,584.2302970253653,80874,1.5271796258079011,0.3527479416740316,0.9510004964964944,1.9050019340089013,8.124437179052151,85,largest_range_with_free_A_in_1.4_to_1.6,1.5561043976656594,0.3595423521420449,0.9523780722955018,79995,98.91312411899992,1.2997690391992796,1000.0,0.02609216628371466,0.014104378286274132,0.02981964633541936,4.445166519265443,0.6744703653091687,0.9283125319924007,85.43391765590395
1997,1.1,555.5779504636477,86474,1.5271796258079011,0.3365142005533588,0.979425529307422,0.6517890634129491,7.79009107647884,90,largest_range_with_free_A_in_1.4_to_1.6,1.542527641031932,0.3402746256320457,0.97993866899397,85440,98.80426486574,1.3976258697802673,1000.0,0.01606839869348092,0.007781911614408482,0.017311546844393313,4.452208872355475,0.6911606173962619,0.9289918978978741,84.06610600916461
1998,1.1,533.1656956356326,87130,1.5271796258079011,0.3350272577784648,0.9768001935261788,0.7967948111459514,8.15287296793561,89,largest_range_with_free_A_in_1.4_to_1.6,1.5426548530677415,0.338650015834246,0.9772744257122392,86122,98.84310799954092,1.3497445319482422,1000.0,0.016657015638080544,0.008620164805843065,0.018445926305544164,4.442184794529576,0.6701056708026957,0.922332647344724,84.27008722170103
1999,1.1,322.8328372731745,90372,1.5271796258079011,0.355624053165173,0.9417000132779724,2.361096064174796,8.176655455951684,85,largest_range_with_free_A_in_1.4_to_1.6,1.558145460215847,0.3628508957227123,0.9432157430941104,89404,98.9288717744434,1.2858483154041327,1000.0,0.028625143290714687,0.016491983866291467,0.03296440480126647,4.439717696783055,0.6709351932121188,0.9252206171132624,85.45847800549845
2001,1.1,250.52313570996824,99538,1.5271796258079011,0.3778216558111698,0.8915725196010461,5.823078643912146,8.53395522561751,88,largest_range_with_free_A_in_1.4_to_1.6,1.570973831809025,0.3876160716148116,0.8939656507951974,98521,98.9782796519922,1.2010641355541822,1000.0,0.044668447555102964,0.02421602618326043,0.04855364463036956,4.433204820630289,0.656787083091404,0.9199470820408249,85.48947805531292
2002,1.1,214.3100285559032,102499,1.5271796258079011,0.3866069122417521,0.886170119828606,6.110979721117458,8.35044854642999,83,largest_range_with_free_A_in_1.4_to_1.6,1.580604480321054,0.3988150638093655,0.8894674785142047,101452,98.9785266197719,1.2001798971529896,1000.0,0.046885620672072394,0.023659960123017423,0.05187499547629295,4.455730689021413,0.6715448914975641,0.9262336921932623,86.22433666402861
2003,1.1,261.6397433348956,104013,1.5271796258079011,0.3544394478402731,0.9644034364791616,1.3321962812153036,7.988967241340482,85,largest_range_with_free_A_in_1.4_to_1.6,1.555611301108145,0.3612296875252678,0.9657863369709258,102856,98.88763904511936,1.3117057181372922,1000.0,0.02253025883637286,0.010161705454980016,0.024342477673039757,4.474188489184395,0.6936683445219083,0.9295754945171553,85.74923484000576
2004,1.1,284.4605044411012,109014,1.5271796258079011,0.387799547861654,0.9141478628535272,4.2676016350856845,8.29192947397243,73,largest_range_with_free_A_in_1.4_to_1.6,1.5886829114632903,0.4019418270837376,0.9181089188260244,107887,98.96618782908617,1.202989880040048,1000.0,0.03826939685964496,0.0235169359439619,0.04296930891228449,4.43074507182469,0.6745305181156126,0.9247685183254097,86.13984885395026
2005,1.1,379.5804662471768,113323,1.5271796258079011,0.3381727004558373,0.9869226798909324,0.3585069742493946,7.475625354864691,73,largest_range_with_free_A_in_1.4_to_1.6,1.5477201590388352,0.3434116097002069,0.9877237890182732,111888,98.73370807338316,1.4442042826890518,1000.0,0.012020456682140516,0.0063112061331236,0.012991422580207168,4.45561586613606,0.7137449190113453,0.9296511881138207,84.48891766310027
2006,1.1,436.93652460957753,115227,1.5271796258079011,0.3451485097992876,0.980958542733764,0.5435548956830474,7.4087306824125,74,largest_range_with_free_A_in_1.4_to_1.6,1.5524467445906045,0.3516518810433491,0.9821449668592898,113830,98.78761054266796,1.429080138767204,1000.0,0.015608902428974591,0.008277076139868937,0.016942678883306805,4.465205681176942,0.7230138352488715,0.9316032239921642,85.1660852034998
2007,1.1,522.7813351801577,113221,1.5271796258079011,0.3595890647490278,0.9740630412779392,0.8556723015066595,7.561989889673862,75,largest_range_with_free_A_in_1.4_to_1.6,1.561571717812681,0.3682625679823327,0.976000693436614,111912,98.84385405534309,1.3547332210966054,1000.0,0.01885305126323361,0.009837858676393621,0.02034804436386726,4.467691829411378,0.7221700444209763,0.9317780065301551,85.69564613046532
2008,1.1,590.8549033709035,113245,1.5271796258079011,0.3852288347581362,0.9374780051020492,2.534614180234044,7.59694880336684,76,largest_range_with_free_A_in_1.4_to_1.6,1.5781042212894432,0.3980154222336966,0.9409985819410122,112041,98.93681840257848,1.2798576841157687,1000.0,0.032149419433839574,0.019406189303434906,0.03591531983547163,4.457690614092843,0.7242974027935045,0.9325472850715275,86.5400107920966
2009,1.1,636.8295046612242,116202,1.5271796258079011,0.3981916110315373,0.9197631504177224,3.510999081580112,7.5750694401889955,73,largest_range_with_free_A_in_1.4_to_1.6,1.5911220471341934,0.4142882375461025,0.924626365218806,114985,98.95268584017488,1.253029753475218,1000.0,0.03932700039247829,0.02121725644015902,0.043658452968363404,4.478786736741684,0.7323375881302698,0.936161862915839,86.84711182857939
2011,1.1,747.5173858471088,104735,1.5271796258079011,0.3692195806817286,0.9735523616119302,0.7998415995616404,7.032932641135984,74,largest_range_with_free_A_in_1.4_to_1.6,1.5676632031998554,0.3801974922234482,0.9764269277734884,103495,98.81605957893731,1.4094143930843046,1000.0,0.01871838163221109,0.009204349022404414,0.020732608724864487,4.5026515967512655,0.7681124959317883,0.9408977121984066,86.42663314642412
2012,1.1,713.2815291380979,108744,1.5271796258079011,0.3928566106695398,0.94985369969595,1.708058736432991,6.86123801280913,75,largest_range_with_free_A_in_1.4_to_1.6,1.5811247020872976,0.4078523349829396,0.9544706049074732,107535,98.88821452218052,1.3646446358707656,1000.0,0.029892451118422085,0.013930868101412213,0.03229770471999157,4.515826371444957,0.7903659894952324,0.9472428533480647,87.09340740185641
2013,1.1,691.9632268598937,108864,1.5271796258079011,0.3706790116630506,0.978434903252736,0.6311931288975129,6.874046452162832,76,largest_range_with_free_A_in_1.4_to_1.6,1.5668512251190387,0.3816868014217772,0.9813943580308314,107534,98.77829218106996,1.4337249417307232,1000.0,0.017202009101524415,0.0077424848322959925,0.018594267125182206,4.514542900276557,0.7833264702422084,0.9443349219913655,86.60743269827107
2014,1.1,720.5192007201913,114238,1.5271796258079011,0.3902272996421039,0.95833591044898,1.438632478087302,6.950485514934318,78,largest_range_with_free_A_in_1.4_to_1.6,1.5777645691434676,0.4041110970588775,0.9625622888398756,112957,98.87865683923036,1.3576004897517224,1000.0,0.02645460452172781,0.01188257162752322,0.028450998419812534,4.518248279946923,0.7854861662500531,0.9461683486474894,87.5090624958359
2015,1.1,439.0207021121702,114940,1.5271796258079011,0.3729318281017747,0.9769102441385404,0.659662098024056,6.738138721209536,76,largest_range_with_free_A_in_1.4_to_1.6,1.5679315138635412,0.3844688645344464,0.9801092537463068,113542,98.78371324169132,1.4523498774489996,1000.0,0.018005224526442768,0.010325386705410996,0.019587488546548203,4.498429809356538,0.7892832104049478,0.9433508724427618,86.99796958004725
2016,1.1,419.4933484069345,454969,1.5271796258079011,0.3986868701141158,0.9589320833601154,1.3406466702079909,6.6528101920850125,74,largest_range_with_free_A_in_1.4_to_1.6,1.583969666961819,0.4149683724083424,0.9641720033958364,449789,98.861460890742,1.3834561178586366,1000.0,0.025677601369230554,0.014478412581702557,0.028809182615796885,4.51073943715357,0.8076253140574231,0.9532925207778228,87.73230595213154
2017,1.1,44677.99530925876,457790,1.5271796258079011,0.3730754701028994,0.984185737613352,0.4184009003026799,6.5435217482552686,74,largest_range_with_free_A_in_1.4_to_1.6,1.5657029593607232,0.3843033080233181,0.987161035782766,451892,98.71163633980646,1.493165210261545,1000.0,0.014137720012276861,0.004916783280972988,0.014288999255059399,4.5343452899503145,0.8136210436394773,0.9561562033281331,86.41433881559492
2018,1.1,362.7794942845123,446697,1.5271796258079011,0.3793202964514156,0.9752323908568036,0.7669067787606103,6.873563688447632,77,largest_range_with_free_A_in_1.4_to_1.6,1.5695618480860805,0.3910827620417514,0.978482847250747,441360,98.80523039107044,1.404330516159075,1000.0,0.018900313914340248,0.009469731785564444,0.020133126341885924,4.500930608171621,0.7832561427296969,0.9482198418898236,86.77876966835125
2019,1.1,373.4886058102362,438183,1.5271796258079011,0.3844700373455545,0.9733982314088616,0.8052095508543569,6.730488746199635,74,largest_range_with_free_A_in_1.4_to_1.6,1.5735914539379348,0.3976222136903916,0.977172739042033,432986,98.81396585444894,1.4138062321186284,1000.0,0.019179225987799066,0.010702447598003753,0.020891024790615696,4.495566244506692,0.7943332651074456,0.950077410864237,86.70792659068124
2020,1.1,294.9537578788349,349142,1.5271796258079011,0.392523030666912,0.9702287611026988,0.8600022857020668,6.40488884758964,74,largest_range_with_free_A_in_1.4_to_1.6,1.578253590372029,0.4077317786691502,0.9750184330131152,344974,98.80621638187328,1.4517000277632297,1000.0,0.022027071975804467,0.0109843625290809,0.02301698798918613,4.526968103218133,0.8314180615569408,0.953239746078265,87.34150337345991
2021,1.1,282.3821479243443,328532,1.5271796258079011,0.3860083015394295,0.9754800542729554,0.7027085581406096,6.494310450810921,76,largest_range_with_free_A_in_1.4_to_1.6,1.5727528020287491,0.3993946208149305,0.9794683403079896,324544,98.78611520338964,1.4556199947084172,1000.0,0.019367594850878692,0.00985991165354055,0.020756274438956585,4.517205522690142,0.8185344846810912,0.9535805243839807,87.25592776332545
2022,1.1,322.4354755498512,372350,1.5271796258079011,0.3789719239039769,0.9824711677899408,0.4206511588528185,6.098769336591756,74,largest_range_with_free_A_in_1.4_to_1.6,1.570715933474876,0.3925851840164041,0.9866608890003288,367374,98.66362293541025,1.5785998476569538,1000.0,0.014447034489020018,0.006271217866100416,0.015208539343696136,4.5499251269139345,0.8536919932884527,0.9602038714505058,86.54858896556392
2023,1.1,359.29079782291853,378054,1.5271796258079011,0.3828233252839615,0.9767919853525822,0.5605613424767684,6.053085381592835,72,largest_range_with_free_A_in_1.4_to_1.6,1.5753682055125224,0.3980031162141339,0.9817000225916466,373160,98.70547593729997,1.5742945818007663,1000.0,0.01740061653571323,0.009689509779189136,0.018875909105381568,4.534344088733565,0.8531927107129991,0.9578443736859428,87.17425414888696
2024,1.1,346.85358340962625,377642,1.5271796258079011,0.4194022424892284,0.9406167834438972,2.054264976679983,6.429786826327929,72,largest_range_with_free_A_in_1.4_to_1.6,1.5989192885768924,0.440674980523621,0.9482123772060452,373475,98.89657400395085,1.3641425733911436,1000.0,0.035158865765946505,0.017069518468172402,0.037313839885783094,4.538192602686377,0.8395451157989929,0.9573338854246687,88.58825061759319
2025,1.1,390.9591732389968,403561,1.5271796258079011,0.3842378671610867,0.9781799490095948,0.5292804955014845,6.061163753063535,71,largest_range_with_free_A_in_1.4_to_1.6,1.5764445762689774,0.3997318597496112,0.9831890252524176,398280,98.69139981316332,1.5660300264848446,1000.0,0.017487629648437062,0.008941196517924879,0.017557830401272692,4.533800261565808,0.8540433729098603,0.9573595031420493,87.02089246235305
